"Province Name","Province Name","Province Code","District Name","District Name","District Code","OD Name","OD Name","OD Code","Health Center Code","Health Center Name","Health Center Name","Commune Name","Commune Name","Commune Code","Village Name","Village Name","Village Code","HaveVMW"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Ou Thum","GUr FM","01020101","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Phnum","PñM","01020102","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Banteay Neang","bnÞaynag","01020103","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Kouk Pnov","eKakeBñA","01020104","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Trang","Rtag","01020105","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Pongro","BRg","01020106","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Kouk Tonloab","eKakTnøab;","01020107","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Trabaek","RtEbk","01020108","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Khile","XILi","01020109","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Samraong Pen","sMerageBn","01020110","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Dang Run Lech","dgrunlic","01020111","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Dang Run Kaeut","dgrunekIt","01020112","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Ou Snguot","GUrs¶Üt","01020113","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010115","Banteay Neang","bnÞaynag","Banteay Neang","bnÞaynag","010201","Prey Changha Lech","éRBcgðalic","01020114","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Banteay Neang","bnÞaynag","010201","Prey Changha Kaeut","éRBcgðaekIt","01020115","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Banteay Neang","bnÞaynag","010201","Ou Andoung Lech","GUrGNþÚglic","01020116","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Banteay Neang","bnÞaynag","010201","Ou Andoung Kandal","GUrGNþÚgkNþal","01020117","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Banteay Neang","bnÞaynag","010201","Ou Andoung Kaeut","GUrGNþÚgekIt","01020118","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Banteay Neang","bnÞaynag","010201","Kouk Kduoch","eKakkþÜc","01020119","No"
