"Province Name","Province Name","Province Code","OD Name","OD Name","OD Code","Health Center Name","Health Center Name","Health Center Code","Village Name","Village Name","Village Code",,"lng"
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Anlong Ta Mei","Gnøg;tamIu",2010410,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Annachet","Gn;citþ",2010405,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Banan",")aNn;",2010203,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Bat Sala","bt;sala",2010406,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Bay Damram",")aydMraM",2010407,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Ta Sanh","tasan;",20421,"Bay Damram",")aydaMraM",2010305,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Chamkar Ou","cMkarGUr",2010202,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Chhak Pou","qkeBaF×_",2010409,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Chhay Rumpoat","qayrMBat;",2010206,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Chheu Teal","eQITal",2010402,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Kampang Kaeut","kMb:;g;ekIt",2010205,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Kampang Lech","kMb:g;lic",2010204,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Kampong Ampil","kMBg;GMBil",2010105,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Kampong Chaeng","kMBg;Ecg",2010302,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Kampong Chamlang","kMBg;cmøg",2010401,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Kampong Srama","kMBg;Rsm:",2010403,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Kanhchroung","keRBa©ag",2010303,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Khnar","xñar",2010404,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Krala Peas","RkLaBas",2010304,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Phnom Kol","PñMkul",2010207,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Post Kantueu","bu:siþknÞW",2010201,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Prey Totueng","éRBTTwg",2010308,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Sasar Pok","ssrBk",2010106,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Sdau","esþA",2010307,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Svay Bei Daeum","sVaybIedIm",2010104,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Svay Prakeab","sVayRbKab",2010408,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Svay Prey","sVayéRB",2010103,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Chheu Teal","eQITal",20411,"Ta Song","tas‘g",2010306,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Thmei","fIµ",2010101,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Tuol Chranieng","TYlRcenog",2010301,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Tuol Thnong","TYlFñg;",2010102,,
"Battambang",")at;dMbg",2,"Battambang",")at;dMbg",204,"Kantueu II","kenÞÓ 2",20412,"Voat Kantueu","vtþknWÞ",2010107,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet I","e)a:yEb:t 1",10202,"Andoung Thma Meas","GNþÚgfµmas",1100210,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Anlong Svay","Gn๘๚g;sVay",1100111,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet I","e)a:yEb:t 1",10202,"Baliley",")alielyü",1100202,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet I","e)a:yEb:t 1",10202,"Kbal Spean","k,als<an",1100201,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet I","e)a:yEb:t 1",10202,"Kilou Lekh Buon","KILÚelxbYn",1100203,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Koub Thum","kUbFM",1100113,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Koun Damrei","kUndMrI",1100112,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Ou Russei","GUrb¤sSI",10203,"Ou Neang","GUrnag",1100207,,
